Идентификатор вакансии;Наименование вакансии;Город;Работодатель;Дата публикации;Дата создания;График работы;Тип трудоустройства;Требуемый опыт;Количество откликов на вакансию с момента публикации;Количество откликов на вакансию с момента создания;Начальная граница З/П;Конечная граница З/П;Итоговая З/П;Ключевые навыки;Профессиональные роли;Кол-во ключевых навыков
101656603;Программист 1С;Дзержинск (Нижегородская область);Поволжье-Транс;2024-06-19 16:32:59;2024-06-19 16:32:59;Полный день;Полная занятость;От 1 года до 3 лет;1;1;200000;;100000;1С: Бухгалтерия,1С: Предприятие,1С: Зарплата и кадры,1С программирование,Аналитическое мышление,Базы данных,Работа с большим объемом информации,Техническая поддержка;Программист, разработчик;8
100626212;Инженер-программист АСУ ТП;Москва;ВНИПИ САУ-20;2024-06-19 16:31:55;2024-06-19 16:31:55;Полный день;Полная занятость;От 3 до 6 лет;22;22;160000;;80000;АСУ ТП,PLC,Программирование,SCADA;Программист, разработчик;4
102294720;Программист 1С УТ;Москва;Улыбина Яна Владимировна;2024-06-19 16:31:08;2024-06-19 16:31:08;Полный день;Полная занятость;От 3 до 6 лет;1;1;;250000;125000;1С: Управление Торговлей;Программист, разработчик;1
101518503;Junior-developer С# .NET / JavaScript;Москва;Comindware;2024-06-19 16:30:08;2024-06-19 16:30:08;Гибкий график;Полная занятость;От 1 года до 3 лет;278;278;120000;200000;160000;.NET,C#,MS Visual Studio;Программист, разработчик;3
102294419;Программист GO;Москва;Автомакон;2024-06-19 16:29:05;2024-06-19 16:29:05;Удаленная работа;Полная занятость;От 3 до 6 лет;4;4;150000;320000;235000;;Программист, разработчик;0
101656003;Бэкенд разработчик golang;Москва;Корпорация ДМ;2024-06-19 16:28:16;2024-06-19 16:28:16;Полный день;Полная занятость;От 3 до 6 лет;46;46;140000;;70000;;Программист, разработчик;0
101358501;Разработчик инсталляторов С#/Wix toolset(Внешние рынки);Москва;АСКОН;2024-06-19 16:27:20;2024-06-19 16:27:20;Удаленная работа;Полная занятость;От 1 года до 3 лет;0;11;104400;;52200;Английский язык,Linux,локализация дистрибутива,Разработка инсталляторов,rpm/deb,С#,Windows,Windows Installer,Wix toolset;Программист, разработчик;9
101278346;SENIOR .NET CORE / C# DEVELOPER;Нижний Новгород;Компания Индид;2024-06-19 16:26:52;2024-06-19 16:26:52;Удаленная работа;Полная занятость;Более 6 лет;85;85;;400000;200000;ASP.NET,EF Core,jQuery,Крипто Про,PostgreSQL,С#;Программист, разработчик;6
99044342;Конструктор по схемам сборки (дизайнер-разработчик схем сборки);Владимир;VERESK;2024-06-19 16:25:57;2024-06-19 16:25:57;Удаленная работа;Полная занятость;От 1 года до 3 лет;1;54;65000;;32500;Adobe Illustrator,БАЗИС-Мебельщик;Другое;2
102293719;Разработчик на С++ (junior+);Москва;Дрон Солюшнс;2024-06-19 16:22:06;2024-06-19 16:22:06;Полный день;Полная занятость;Нет опыта;13;13;50000;90000;70000;C++,Git,Qt,Разработка ПО;Программист, разработчик;4
102293628;Наладчик-программист роботов;Набережные Челны;Автотехник;2024-06-19 16:21:33;2024-06-19 16:21:33;Сменный график;Полная занятость;От 3 до 6 лет;0;0;100000;;50000;Математическое программирование,Программирование роботов;Оператор станков с ЧПУ;2
99972597;Программист 1С;Ростов-на-Дону;Донской кирпич;2024-06-19 16:19:48;2024-06-19 16:19:48;Полный день;Полная занятость;От 1 года до 3 лет;6;6;120000;;60000;;Программист, разработчик;0
94672469;Backend разработчик (middle);Санкт-Петербург;Евромобайл;2024-06-19 16:19:07;2024-06-19 16:19:07;Полный день;Полная занятость;От 3 до 6 лет;0;112;200000;;100000;Базы данных,C#,Git,MS SQL,NET 8,PostgreSQL,REST,СУБД;Программист, разработчик;8
99972513;Программист 1С;Ростов-на-Дону;Коммерция;2024-06-19 16:18:51;2024-06-19 16:18:51;Полный день;Полная занятость;От 3 до 6 лет;4;4;120000;;60000;1С: Предприятие 8,1С: Управление Торговлей;Программист, разработчик;2
99972493;Программист 1С;Казань;ДНКА Автоматизация;2024-06-19 16:18:47;2024-06-19 16:18:47;Полный день;Полная занятость;От 1 года до 3 лет;11;11;120000;250000;185000;;Программист, разработчик;0
95987573;Программист AXAPTA / Dynamics AX;Москва;Фирменный Торговый Дом Царицыно;2024-06-19 16:18:22;2024-06-19 16:18:22;Полный день;Полная занятость;От 1 года до 3 лет;1;13;165300;165300;165300;AXAPTA,MS Dynamics,MS SQL;Программист, разработчик;3
102293042;Инженер-разработчик РЭА (схемотехника);Москва;СНИИП-СИСТЕМАТОМ;2024-06-19 16:17:39;2024-06-19 16:17:39;Полный день;Полная занятость;От 3 до 6 лет;2;2;100000;150000;125000;Altium Designer,Английский язык,АСУ,AutoCAD,Электротехника,ЕСКД,Инженер,ПЛИС,Программирование,Разработка электросхем,Разработка конструкторской документации,Схемотехника электронного оборудования;Инженер-конструктор, инженер-проектировщик;12
99816032;PHP-разработчик /middle;Ярославль;ПиццаСофт;2024-06-19 16:17:12;2024-06-19 16:17:12;Удаленная работа;Полная занятость;От 1 года до 3 лет;1;121;100000;120000;110000;;Программист, разработчик;0
102292975;Программист-разработчик (SQL);Москва;Business Solutions Consulting;2024-06-19 16:17:09;2024-06-19 16:17:09;Полный день;Полная занятость;От 1 года до 3 лет;1;1;;160000;80000;Уверенное знание T-SQL;Программист, разработчик;1
98462845;Middle PHP Developer/Разработчик;Екатеринбург;Рулю;2024-06-19 16:16:42;2024-06-19 16:16:42;Полный день;Полная занятость;От 3 до 6 лет;52;62;;250000;125000;PHP;Программист, разработчик;1
102292876;Инженер-программист (ОГТ, бригада внедрения и поддержки автоматизированной ПП и специальных технолог;Ступино;НПП Аэросила;2024-06-19 16:15:57;2024-06-19 16:15:57;Полный день;Полная занятость;От 1 года до 3 лет;0;0;52200;;26100;;Другое;0
102292758;Ведущий программист производственной системы (группа Axapta);Москва;Фирменный Торговый Дом Царицыно;2024-06-19 16:14:51;2024-06-19 16:14:51;Полный день;Полная занятость;От 1 года до 3 лет;1;1;165300;165300;165300;MBS Axapta 3.0,MS Dynamics AX 2009,ORACLE,SQL;Программист, разработчик;4
101277019;Full-stack разработчика (Junior+);Пенза;Ингруппа;2024-06-19 16:14:31;2024-06-19 16:14:31;Полный день;Полная занятость;От 1 года до 3 лет;81;81;50000;90000;70000;amoCRM,Express.js,Git,JavaScript,NestJS,Node.js,SQL,TypeScript,Vue.js;Программист, разработчик;9
102292717;Инженер-программист станков с ЧПУ;Чебоксары;СПД БИРС;2024-06-19 16:14:18;2024-06-19 16:14:18;Полный день;Полная занятость;От 1 года до 3 лет;0;0;60900;;30450;разработка управляющих программ на станках с ЧПУ,Станки ЧПУ;Другое;2
99840351;Ведущий инженер-программист/Инженер-программист ДП САУ (ПДВ);Санкт-Петербург;Климов;2024-06-19 16:13:33;2024-06-19 16:13:33;Полный день;Полная занятость;Нет опыта;0;4;69600;165300;117450;;Программист, разработчик;0
91548125;Инженер-программист 3-1 категории ПБ Автоматика (бригада диагностики);Санкт-Петербург;Климов;2024-06-19 16:13:32;2024-06-19 16:13:32;Полный день;Полная занятость;От 3 до 6 лет;0;2;50460;104400;77430;;Инженер-конструктор, инженер-проектировщик;0
91548086;Инженер-программист 1-2 категории (ДП САУ ПБ «ЭС», ПМО и СК) бригада ПМО ТВД;Санкт-Петербург;Климов;2024-06-19 16:13:31;2024-06-19 16:13:31;Полный день;Полная занятость;От 1 года до 3 лет;0;7;52200;104400;78300;;Другое;0
102292588;Программист микроконтроллеров;Казань;Майхит;2024-06-19 16:12:31;2024-06-19 16:12:31;Гибкий график;Полная занятость;От 3 до 6 лет;0;0;80000;150000;115000;Assembler,C++,C/C++,CC1310,ESP32,Git,STM32;Программист, разработчик;7
100623976;Программист 1С (стажёр / ученик);Ульяновск;КВАДРАТ 2;2024-06-19 16:12:13;2024-06-19 16:12:13;Полный день;Полная занятость;Нет опыта;60;60;30000;;15000;1С программирование,Аналитический склад ума,Автоматизация процессов,Математический анализ,Программирование,способность анализировать проблемы, эффективно искать пути их разрешения;Программист, разработчик;7
101276717;Программист 1С;Москва;Аладдин Софтвер;2024-06-19 16:11:34;2024-06-19 16:11:34;Гибкий график;Полная занятость;От 3 до 6 лет;17;17;280000;;140000;1С: Предприятие 8,HTTP-сервисы,JSON,СКД,Создание конфигурации 1С;Программист, разработчик;5
102292305;Ведущий программист / разработчик 1C;Москва;Торговый Дом НЕФТЬМАГИСТРАЛЬ;2024-06-19 16:10:40;2024-06-19 16:10:40;Полный день;Полная занятость;От 3 до 6 лет;2;2;300000;;150000;1C: ERP,1С: Документооборот,1С: Управление Производственным Предприятием,Мобильность,Работа с документами;Программист, разработчик;5
101276645;Программист 1С Junior;Москва;BYTIME;2024-06-19 16:10:35;2024-06-19 16:10:35;Удаленная работа;Полная занятость;Нет опыта;447;447;60000;;30000;1С: Документооборот,1С: Предприятие,1С программирование,Обновление конфигурации 1С,Создание конфигурации 1С;Программист, разработчик;5
102265674;Senior Backend Developer (PHP);Москва;UNITED;2024-06-19 16:10:12;2024-06-19 16:10:12;Полный день;Полная занятость;От 3 до 6 лет;2;2;;400000;200000;;Программист, разработчик;0
102292263;Ведущий инженер-программист станков с ЧПУ;Пенза;ПТПА;2024-06-19 16:09:55;2024-06-19 16:09:55;Полный день;Полная занятость;От 1 года до 3 лет;0;0;66120;82650;74385;;Программист, разработчик;0
97737426;Программист 1C (УПП, БП, ЗУП);Москва;НеоАрт, Группа Компаний;2024-06-19 16:06:59;2024-06-19 16:06:59;Полный день;Полная занятость;От 1 года до 3 лет;9;29;250000;;125000;1С: Бухгалтерия,1С: Управление Производственным Предприятием,1С: Зарплата и управление персоналом,1С программирование,Базы данных,Обновление конфигурации 1С,Работа с большим объемом информации;Программист, разработчик;7
99971047;Инженер-программист АСУТП (инженер АСУТП);Москва;Креатив Вей;2024-06-19 16:05:35;2024-06-19 16:05:35;Удаленная работа;Полная занятость;От 1 года до 3 лет;204;204;120000;170000;145000;АСУ,АСУ ТП,Автоматизация производства,Автоматизация технологических процессов,Электрические системы и слаботочные системы,Информационные технологии,ПЛК,Программирование,Пуско-наладочные работы,Разработка ПО,SCADA,СКАДА;Программист, разработчик;12
99971048;Инженер-программист АСУТП (инженер АСУТП);Тверь;Креатив Вей;2024-06-19 16:05:35;2024-06-19 16:05:35;Удаленная работа;Полная занятость;От 1 года до 3 лет;93;93;100000;150000;125000;АСУ,АСУ ТП,Автоматизация производства,Автоматизация технологических процессов,HMI,Информационные технологии,ПЛК,Пуско-наладочные работы,Разработка ПО,SCADA,СКАДА;Программист, разработчик;11
101871277;Frontend-разработчик (HTML-верстальщик);Москва;Агентство Социальные Сети;2024-06-19 16:05:26;2024-06-19 16:05:26;Полный день;Полная занятость;От 1 года до 3 лет;805;805;140000;;70000;CSS3,Figma,Git,HTML5,JavaScript,jQuery,React;Программист, разработчик;7
102291933;Инженер-программист АСУ ТП;Котовск (Тамбовская область);Группа Компаний РУСАГРО;2024-06-19 16:04:36;2024-06-19 16:04:36;Полный день;Полная занятость;От 1 года до 3 лет;0;0;;69600;34800;;Программист, разработчик;0
102291934;Инженер-программист АСУ ТП;Воронеж;Группа Компаний РУСАГРО;2024-06-19 16:04:36;2024-06-19 16:04:36;Полный день;Полная занятость;От 1 года до 3 лет;0;0;;69600;34800;;Программист, разработчик;0
102291935;Инженер-программист АСУ ТП;Липецк;Группа Компаний РУСАГРО;2024-06-19 16:04:36;2024-06-19 16:04:36;Полный день;Полная занятость;От 1 года до 3 лет;0;0;;69600;34800;;Программист, разработчик;0
102291936;Инженер-программист АСУ ТП;Белгород;Группа Компаний РУСАГРО;2024-06-19 16:04:36;2024-06-19 16:04:36;Полный день;Полная занятость;От 1 года до 3 лет;0;0;;69600;34800;;Программист, разработчик;0
102291937;Инженер-программист АСУ ТП;Брянск;Группа Компаний РУСАГРО;2024-06-19 16:04:36;2024-06-19 16:04:36;Полный день;Полная занятость;От 1 года до 3 лет;0;0;;69600;34800;;Программист, разработчик;0
94411348;Java-разработчик;Москва;РК-ЦИФРА;2024-06-19 16:02:48;2024-06-19 16:02:48;Полный день;Полная занятость;От 3 до 6 лет;1;396;237162;;118581;;Программист, разработчик;0
101516106;Программист-математик С++;Санкт-Петербург;Филиал СКБ Энергия АО Завод Энергия;2024-06-19 16:02:31;2024-06-19 16:02:31;Полный день;Полная занятость;От 1 года до 3 лет;37;37;85000;150000;117500;C/C++,Linux,Machine Learning,OpenCV,Qt;Программист, разработчик;5
102291782;Верстальщик/Frontend-разработчик (Junior);Санкт-Петербург;Удовика Сергей Сергеевич;2024-06-19 16:02:26;2024-06-19 16:02:26;Полный день;Полная занятость;От 1 года до 3 лет;37;37;30000;50000;40000;CSS,HTML,JavaScript,Sass,VueJS;Программист, разработчик;5
101653178;Разработчик БД/аналитик БД;Москва;Геограком;2024-06-19 16:02:23;2024-06-19 16:02:23;Полный день;Полная занятость;От 1 года до 3 лет;71;71;;239250;119625;Git,pandas,PostGIS,PostgreSQL,psycopg2,Python;Программист, разработчик;6
100234219;Full-stack Developer (Node.js / Vue.js);Москва;Omegapart;2024-06-19 16:01:34;2024-06-19 16:01:34;Удаленная работа;Полная занятость;От 1 года до 3 лет;267;267;150000;180000;165000;Clickhouse,Docker,Node JS (Express),NuxtJS (Vue),PHP,PostgreSQL;Программист, разработчик;6
101870838;Node Js разработчик / Backend-разработчик;Москва;Московская академия финансового консультирования;2024-06-19 16:00:27;2024-06-19 16:00:27;Удаленная работа;Полная занятость;От 3 до 6 лет;58;58;100000;;50000;Backend,Git,js,Linux,Node.js,PostgreSQL,SQL,Удаленная работа;Программист, разработчик;8
101269442;PHP-разработчик;Екатеринбург;ROIburo;2024-06-19 15:57:09;2024-06-19 15:57:09;Полный день;Полная занятость;От 1 года до 3 лет;0;16;;100000;50000;1С-Битрикс,Git,HTML,JavaScript,MVC,OpenCart,PHP,PHP7,SQL;Программист, разработчик;9
102291196;Программист 1С;Белгород;Управляющая компания ЖБК-1;2024-06-19 15:56:39;2024-06-19 15:56:39;Полный день;Полная занятость;От 1 года до 3 лет;1;1;60900;;30450;;Программист, разработчик;0
99601203;Инженер-программист станков с ЧПУ;Тамбов;ЗАВКОМ;2024-06-19 15:55:46;2024-06-19 15:55:46;Полный день;Полная занятость;От 1 года до 3 лет;0;2;45737;;22868;;Другое;0
101870358;Senior Frontend developer (React);Москва;BrainHub;2024-06-19 15:54:24;2024-06-19 15:54:24;Удаленная работа;Полная занятость;Более 6 лет;465;465;304500;391500;348000;CSS,DRY,Ecmascript 2020,Git,GitFlow,HTTP,JavaScript,KISS,Mobx,NPM 8,React,Scrum,Semver,SOLID,TypeScript,Webpack;Программист, разработчик;16
102290991;Программист 1С (Многопрофильный холдинг);Москва;Lightmans;2024-06-19 15:53:33;2024-06-19 15:53:33;Полный день;Полная занятость;От 3 до 6 лет;2;2;;180000;90000;;Программист, разработчик;0
102290992;Программист 1С (Многопрофильный холдинг);Подольск (Московская область);Lightmans;2024-06-19 15:53:33;2024-06-19 15:53:33;Полный день;Полная занятость;От 3 до 6 лет;0;0;;180000;90000;;Программист, разработчик;0
102290993;Программист 1С (Многопрофильный холдинг);Красногорск;Lightmans;2024-06-19 15:53:33;2024-06-19 15:53:33;Полный день;Полная занятость;От 3 до 6 лет;0;0;;180000;90000;;Программист, разработчик;0
102290955;Программист 1C;Санкт-Петербург;Дипломат, сеть магазинов;2024-06-19 15:53:03;2024-06-19 15:53:03;Полный день;Полная занятость;От 1 года до 3 лет;1;1;250000;;125000;1С: Бухгалтерия,1С: Предприятие 8,1С: Зарплата и управление персоналом,1С программирование,MS SQL,Разработка инструкций,SQL;Программист, разработчик;7
101274944;Программист С/С++;Санкт-Петербург;Информационные Телекоммуникационные Технологии;2024-06-19 15:50:23;2024-06-19 15:50:23;Полный день;Полная занятость;От 1 года до 3 лет;24;24;110000;150000;130000;;Программист, разработчик;0
101515026;Программист 1С;Москва;ГТ КОНСАЛТИНГ;2024-06-19 15:48:53;2024-06-19 15:48:53;Полный день;Полная занятость;От 1 года до 3 лет;6;6;150000;200000;175000;;Программист, разработчик;0
101274727;Программист KNX;Москва;IQworks;2024-06-19 15:47:12;2024-06-19 15:47:12;Полный день;Полная занятость;От 1 года до 3 лет;3;3;110000;140000;125000;;Инженер-конструктор, инженер-проектировщик;0
102290313;Frontend-разработчик;Санкт-Петербург;Сотранс, группа компаний;2024-06-19 15:47:01;2024-06-19 15:47:01;Удаленная работа;Полная занятость;От 1 года до 3 лет;80;80;150000;;75000;Git,js,Nuxt,Vue;Программист, разработчик;4
94322338;Программист ЗУП 1С;Санкт-Петербург;Baltic Logistics, Группа компаний;2024-06-19 15:45:54;2024-06-19 15:45:54;Полный день;Полная занятость;От 3 до 6 лет;1;10;170000;;85000;1С: Комплексная автоматизация,1С: Зарплата и управление персоналом,1С программирование,ERP-системы на базе 1С,КА 2;Программист, разработчик;5
98004539;Senior fullstack java developer;Санкт-Петербург;Бизнес Технологии;2024-06-19 15:45:17;2024-06-19 15:45:17;Полный день;Полная занятость;Более 6 лет;20;56;200000;300000;250000;;Программист, разработчик;0
95215721;Ведущий программист 1С;Екатеринбург;АЙДИ-ИНЖИНИРИНГ;2024-06-19 15:44:50;2024-06-19 15:44:50;Полный день;Полная занятость;От 3 до 6 лет;0;16;200000;;100000;1С: Предприятие,1С: Предприятие 8,1С: Управление Производственным Предприятием,1С ERP,1С программирование,Создание конфигурации 1С,Управленческий учет;Руководитель группы разработки;7
101274400;Инженер - разработчик С++;Москва;ВК ИТС;2024-06-19 15:44:30;2024-06-19 15:44:30;Полный день;Полная занятость;От 3 до 6 лет;19;19;;250000;125000;C++,Linux,Multithread Programming,Python,STL;Программист, разработчик;5
97237663;Web-разработчик/Веб-программист;Уфа;SIMAI;2024-06-19 15:43:36;2024-06-19 15:43:36;Удаленная работа;Полная занятость;От 1 года до 3 лет;35;595;35235;87000;61117;CSS,HTML,JavaScript,PHP;Программист, разработчик;4
99599461;Ведущий инженер программист;Кострома;ОГБУЗ Окружная больница Костромского округа № 1;2024-06-19 15:43:22;2024-06-19 15:43:22;Полный день;Полная занятость;Нет опыта;0;2;34800;;17400;;Программист, разработчик;0
101869258;Unity Developer;Тольятти;NDK Games;2024-06-19 15:41:55;2024-06-19 15:41:55;Полный день;Полная занятость;От 3 до 6 лет;42;42;60900;104400;82650;Английский язык,Английский — A1 — Начальный,C#,iOS,ООП,Оптимизация кода,Работа в команде,Unity;Программист, разработчик;8
97732359;Стажер-разработчик React;Ульяновск;FrameWork Team;2024-06-19 15:41:42;2024-06-19 15:41:42;Полный день;Стажировка;Нет опыта;149;381;20000;;10000;CSS,Git,HTML,JavaScript,React,Vue;Другое;6
102289839;Наладчик фрезерных станков с ЧПУ/инженер-технолог/инженер-программист станков с ЧПУ;Подольск (Московская область);Борис-88;2024-06-19 15:41:27;2024-06-19 15:41:27;Сменный график;Полная занятость;От 1 года до 3 лет;1;1;130000;170000;150000;AutoCAD,Компас-3D,Разработка технических заданий;Оператор станков с ЧПУ;3
102123467;Программист-консультант 1С в проектный офис (можно удаленно);Москва;Первый Бит;2024-06-19 15:39:34;2024-06-19 15:39:34;Полный день;Полная занятость;От 1 года до 3 лет;0;0;130500;261000;195750;;Программист, разработчик;0
102289129;Frontend - разработчик;Москва;Кадровое агентство BWG;2024-06-19 15:35:25;2024-06-19 15:35:25;Полный день;Полная занятость;От 1 года до 3 лет;95;95;;180000;90000;CSS3,HTML5,JavaScript,Less,Next JS,React,Redux,SSR,TypeScript;Другое;9
102288860;Программист С++;Санкт-Петербург;Альфа-Бизнес;2024-06-19 15:31:57;2024-06-19 15:31:57;Полный день;Полная занятость;От 1 года до 3 лет;2;2;;175000;87500;;Программист, разработчик;0
102288844;Разработчик PHP/WordPress;Санкт-Петербург;LEX Group;2024-06-19 15:31:44;2024-06-19 15:31:44;Полный день;Полная занятость;От 1 года до 3 лет;4;4;113100;;56550;Профессионализм,Умение работать в команде;Программист, разработчик;2
95171758;Технолог-программист (станки с ЧПУ);Санкт-Петербург;ЦНИИ РТК;2024-06-19 15:30:24;2024-06-19 15:30:24;Полный день;Полная занятость;От 3 до 6 лет;0;11;100000;;50000;Siemens NX,SolidWorks;Инженер-конструктор, инженер-проектировщик;2
96531871;1С-разработчик (ERP);Москва;GrowFood;2024-06-19 15:30:06;2024-06-19 15:30:06;Удаленная работа;Полная занятость;От 3 до 6 лет;2;146;240000;;120000;1С: Комплексная автоматизация,1С: Управление Торговлей,1С программирование,ERP-системы на базе 1С;Программист, разработчик;4
101650018;Frontend-разработчик;Серпухов;Курорт-Эксперт;2024-06-19 15:29:20;2024-06-19 15:29:20;Полный день;Полная занятость;От 1 года до 3 лет;80;80;78300;104400;91350;;Программист, разработчик;0
99597519;.NET разработчик (backend);Москва;Бренд Монитор;2024-06-19 15:28:48;2024-06-19 15:28:48;Полный день;Полная занятость;От 1 года до 3 лет;2;261;150000;200000;175000;ASP.NET,Базы данных,C#,HTML,JavaScript,LINQ,MySQL,Разработка ПО,SQL;Программист, разработчик;9
102288380;Embedded C/C++ Developer;Санкт-Петербург;Offer Now;2024-06-19 15:27:38;2024-06-19 15:27:38;Полный день;Полная занятость;Нет опыта;2;2;;313200;156600;;Программист, разработчик;0
101272914;Программист-разработчик Golang;Москва;МТГ. Бизнес-решения;2024-06-19 15:26:43;2024-06-19 15:26:43;Полный день;Полная занятость;От 1 года до 3 лет;187;187;95700;113100;104400;Golang,Linux,PostgreSQL,SQL;Программист, разработчик;4
92709882;Инженер-программист 1С;Чебоксары;ЧЭАЗ;2024-06-19 15:23:36;2024-06-19 15:23:36;Полный день;Полная занятость;Нет опыта;0;30;43500;;21750;;Программист, разработчик;0
101272421;Инженер-программист;Санкт-Петербург;Технические Системы и Технологии;2024-06-19 15:23:07;2024-06-19 15:23:07;Полный день;Полная занятость;От 3 до 6 лет;11;11;139200;;69600;;Программист, разработчик;0
100617730;Ведущий разработчик 1С;Москва;Корада;2024-06-19 15:23:02;2024-06-19 15:23:02;Удаленная работа;Полная занятость;От 3 до 6 лет;17;17;150000;200000;175000;1С: Документооборот,1С: Розница,1С: Управление Торговлей,1С программирование,Удаленная работа;Программист, разработчик;5
102287916;Инженер-программист / ведущий инженер-программист АСУ ТП;Краснодар;Турбосерв;2024-06-19 15:22:22;2024-06-19 15:22:22;Полный день;Полная занятость;От 1 года до 3 лет;1;1;50000;120000;85000;Astra.IDE,AstraRegul,АСУ,АСУ ТП,Автоматизация производства,Автоматизация технологических процессов,Электрические системы и слаботочные системы,Энергетика,HMI,Инженер,инженер-программист,Инжиниринг,КИПиА,MS Office,ПЛК,PostgreSQL,Проектная документация,Производство пусконаладочных работ,Prosoft,Работа с базами данных,Разработка ПО,Разработка технических заданий,SCADA,Siemens,STL,TIA portal;Программист, разработчик;26
102287895;Web-программист;Москва;Герасимов Сергей;2024-06-19 15:22:11;2024-06-19 15:22:11;Удаленная работа;Проектная работа;От 1 года до 3 лет;27;27;;100000;50000;Адаптивная верстка,Администрирование сайтов,Bootstrap,HTML,jQuery,PHP,Python,Разработка ПО,Веб-программирование;Программист, разработчик;9
101649471;Программист 1С;Сарапул;Завод оконных конструкций ФАВОРИТ;2024-06-19 15:22:07;2024-06-19 15:22:07;Полный день;Полная занятость;От 1 года до 3 лет;1;1;70000;130000;100000;1С программирование;Программист, разработчик;1
99966199;Программист 1C (ЗУП);Москва;ТК Мейджик Транс;2024-06-19 15:21:34;2024-06-19 15:21:34;Удаленная работа;Полная занятость;От 1 года до 3 лет;36;36;200000;;100000;;Программист, разработчик;0
91313231;Ведущий программист 1С: ЗУП;Челябинск;Красное & Белое, розничная сеть;2024-06-19 15:20:46;2024-06-19 15:20:46;Полный день;Полная занятость;От 3 до 6 лет;0;13;290000;290000;290000;1С: ЗУП 2.5,1С: ЗУП 3.1,Работа с http/web-сервисами,Разработка на платформе «1С: Предприятие 8.3»,Разработка технических заданий,Развитие 1С: ЗУП,Рефакторинг кода,Сопровождение 1С: ЗУП;Программист, разработчик;8
102287348;Senior backend developer;Севастополь;Тензор;2024-06-19 15:19:30;2024-06-19 15:19:30;Гибкий график;Полная занятость;Более 6 лет;0;0;217500;261000;239250;Git,ООП,PostgreSQL,Python,Redis,SQL,Unit Testing;Программист, разработчик;7
102287307;Программист С++;Казань;Тензор;2024-06-19 15:19:11;2024-06-19 15:19:11;Полный день;Полная занятость;От 3 до 6 лет;1;1;121800;200100;160950;Boost,C++,Git,Python,SQL,STL;Программист, разработчик;6
91313039;Ведущий программист 1С: ЗУП;Москва;Красное & Белое, розничная сеть;2024-06-19 15:19:00;2024-06-19 15:19:00;Полный день;Полная занятость;От 3 до 6 лет;2;41;290000;290000;290000;1С: ЗУП 2.5,1С: ЗУП 3.1,Работа с http/web-сервисами,Разработка на платформе «1С: Предприятие 8.3»,Разработка технических заданий,Развитие 1С: ЗУП,Рефакторинг кода,Сопровождение 1С: ЗУП;Программист, разработчик;8
99595740;Инженер АСУ ТП / Инженер по автоматизации / Инженер-программист АСУ ТП;Москва;Юнифорс Инжиниринг;2024-06-19 15:18:36;2024-06-19 15:18:36;Удаленная работа;Полная занятость;От 3 до 6 лет;1;46;120000;;60000;АСУ ТП,AutoCAD,Автоматизация технологических процессов,Cisco,DCS,ESD,ExperionPKS,Foxboro,ГОСТ,HollySys,Honeywell,IEK 61131-3,Modbus,MS Office,MS Visio,OPC,P&ID,Plant Cruise,PLC,Profibus,Routing Protocols,Safety Manager,SCADA,Siemens,TDC3000,Windows Os;Другое;26
102286994;Backend разработчик (Middle-, Middle);Москва;PatentCore.ru;2024-06-19 15:16:31;2024-06-19 15:16:31;Удаленная работа;Полная занятость;От 1 года до 3 лет;42;42;110000;140000;125000;CI/CD,Docker,Docker Swarm,Git,GraphQL,gRPC,Kubernetes,Linux,Minio,Nginx,PostgreSQL,Python,RabbitMQ,Redis,SQL;Программист, разработчик;15
101648648;PHP-разработчик (middle);Самара;СКИФМЬЮЗИК;2024-06-19 15:16:09;2024-06-19 15:16:09;Удаленная работа;Полная занятость;От 3 до 6 лет;55;55;120000;;60000;Bootstrap,ERP,js,MySQL,PHP,Slack,Yii;Программист, разработчик;7
98479612;Программист C# (backend, webapi, services, .net core);Санкт-Петербург;Системы информации и связи;2024-06-19 15:15:33;2024-06-19 15:15:33;Полный день;Полная занятость;От 3 до 6 лет;9;75;200000;;100000;.NET Core,.NET Framework,ASP.NET,C#,Entity Framework,HTML5,LINQ,MVC,PostgreSQL,Redis,SQL;Программист, разработчик;11
100490926;Middle Backend Developer (PHP);Ростов-на-Дону;Зорра;2024-06-19 15:14:08;2024-06-19 15:14:08;Полный день;Полная занятость;От 1 года до 3 лет;1;28;140000;;70000;Git,Kafka,Laravel,MySQL,PHP,PostgreSQL,RabbitMQ;Программист, разработчик;7
100490790;Middle Backend Developer (Node.js + PHP);Ростов-на-Дону;Зорра;2024-06-19 15:14:04;2024-06-19 15:14:04;Удаленная работа;Полная занятость;От 1 года до 3 лет;1;96;140000;;70000;Bitbucket,Laravel,Node.js,ООП,PHP,PostgreSQL,Работа в команде,Redis,Socket.io,Удаленная работа;Программист, разработчик;10
101648279;Программист Junior (C#, Entity Framework, JavaScript);Екатеринбург;Генум;2024-06-19 15:13:16;2024-06-19 15:13:16;Полный день;Полная занятость;Нет опыта;124;124;50000;80000;65000;C#,Entity Framework,JavaScript;Программист, разработчик;3
99594745;Специалист по внедрению/Программист 1С;Ярославль;Тензор;2024-06-19 15:13:10;2024-06-19 15:13:10;Удаленная работа;Полная занятость;От 1 года до 3 лет;0;12;52200;;26100;1С программирование;Программист, разработчик;1
